"Basic authentication","Přihlášení","Menu/Menu.php"
"About","O nás","Menu/Menu.php"
"Contact","Kontakt","Menu/Menu.php"
"FAQ","Časté otázky","Menu/Menu.php"
"Web requires authentication","Prihlásení pomocí registrovaního užívatele"
"Gender","Pohlaví"
"Male","Muž"
"Female","Žena"
"First name","Jméno"
"Last name","Příjmení"
"Registration","Registrace"
"Register","Zaregistrovat se"
"Basic user authentication","Přihlašovací údaje pro cz-fin"
"User Name","Email"
"Password","Heslo"
"Log in","Přihlásit se"
"Recover password","Obnova hesla"
"Your user name","Zadejte prosím Váš email"
"Your password","Zadejte prosím heslo"
"Recover lost password","Obnovte ztracené heslo"
"Your email address","Váš email"
"Reset your password","Obnovit heslo"
"Wrong user or password!","Chybný email nebo heslo!"
"Licence Type","Typ"
"Licence Start","Aktivní od"
"Licence End","Aktivní do"
"Licence history","Historie vašich licencí"
"You do not have any active licence yet","Zatím nemáte žádnou aktivní licenci"
"MF_insert","Vlož"
"MF_update","Uprav"
"MF_reset","Obnov formulár"
"MF_delete","Vymaž"
"iter_page","Přejít na stránku"
"Page","Stránka"
"Number of items","Počet položek"
"Generated in","Vygenerováno za"
"Item has been successfully updated","Položka bola úspěšne upravená"
"Deletion has been successfully commited","Odstranění záznamu bylo úspěšně vykonano"
"New item has been successfully inserted","Nová položka byla úspěšně vložena"
"New item","Nový záznam"
"Export to XML","Exportovať do XML",
"Export to Excel","Exportovať do Excelu",
"Export to HTML","Exportovať do HTML",
"You have successfully registered. We have sent you credentials to your email address.","Úspěšně jste se zaregistrovali. Poslali jsme vám přihlašovací údaje na vaši e-mailovou adresu."
"Licence Name","Licence pro"
"Users count","Počet uživatelů"
"User Type","Typ uživatele"
"Standard","Standardní"
"Admin - Can manage users","Admin - může spravovat uživatele"
"%name% Vám poslal slevový kód","%name% Vám poslal slevový kód"
Licence,Licence,/AT/src/Block/Header.php
"Monitoring stats","Statistiky monitoringu",/AT/src/Block/Header.php
Kupóny,Kupóny,/AT/src/Block/Header.php
"Monitoring LIVE","Monitoring LIVE",/AT/src/Block/Header.php
"Monitoring DAY","Monitoring DAY",/AT/src/Block/Header.php
"Monitoring MONTH","Monitoring MONTH",/AT/src/Block/Header.php
"News primary source config","News primary source config",/AT/src/Block/Header.php
"News Config","News Config",/AT/src/Block/Header.php
"HTML2RSS Config","HTML2RSS Config",/AT/src/Block/Header.php
"Missed news","Minuté správy",/AT/src/Block/Header.php
"Monitoring médií LIVE","Monitoring médií LIVE",/AT/src/Block/Header.php
"Monitoring médií - Denný report","Monitoring médií - Denný report",/AT/src/Block/Header.php
"Monitoring médií - Mesačný report","Monitoring médií - Mesačný report",/AT/src/Block/Header.php
"Nastav avatar","Nastav avatar",/AT/src/Block/Header.php
Bonus,Bonus,/AT/src/Block/Header.php
"Fakturační údaje","Fakturační údaje",/AT/src/Block/Header.php
"Uživatelské nastavení","Uživatelské nastavení",/AT/src/Block/Header.php
Odhlášení,Odhlášení,/AT/src/Block/Header.php
"Monitoring médií","Monitoring médií",/AT/src/Block/Header.php
Ceník,Ceník,/AT/src/Block/Header.php
Statistiky,Statistiky,/AT/src/Block/Header.php
"Statistiky dat","Statistiky dat",/AT/src/Block/Header.php
"Seznam použitých datových zdrojů","Seznam použitých datových zdrojů",/AT/src/Block/Header.php
